,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
50,"Nashville, TN",NIA LCD,Tmax,87.62368815592204,5.566592325260295,-0.4569959070657024,5336,65.0,100.7051282051282,107.0,88.0,88.0,4.357142857142857,23.428571428571427,96.0,4.493363437328954,1.5772988505747128,19.37631184407796,13.081440049206163,69.72026127062651
51,"New Orleans, LA",NOA LCD,Tmax,89.54255980118049,3.727804535713891,-0.4646289548226947,6438,74.0,97.77678571428572,101.0,90.0,90.0,3.2285714285714286,37.82857142857143,95.0,5.202522675736961,0.9519047619047618,11.457440198819512,8.23422591310522,75.48808681913351
52,"Norfolk, VA",NIA LCD,Tmax,85.0475340687865,6.488534695755904,-0.3011179962346202,6164,59.0,99.22093023255816,104.0,85.0,87.0,3.3857142857142857,18.7,95.0,3.035287846481876,1.151741293532338,18.952465931213496,14.173396163771642,71.31917353049863
53,"NYC, NY",CPS LCD,Tmax,81.68383561643836,6.872959648444216,-0.3672761643353571,3650,54.0,97.74,103.0,82.0,83.0,0.8333333333333334,5.25,92.0,2.459166666666667,0.5291666666666666,21.31616438356164,16.056164383561637,67.37309742133681
54,"Oklahoma City, OK",OCT LCD,Tmax,90.15510697032435,7.119622167824211,-0.3632802166879652,5796,62.0,106.35714285714286,111.0,91.0,90.0,18.057142857142857,41.24285714285714,101.0,7.672097963764631,4.386363063744016,20.84489302967563,16.202035886818493,66.3506609500472
55,"Omaha, NE",OEA LCD,Tmax,84.9321387091422,7.55767871141008,-0.2511107320083689,6027,55.0,102.66265060240964,109.0,85.0,85.0,6.257142857142857,19.785714285714285,97.0,3.4199374699374703,1.9931818181818184,24.06786129085781,17.730511893267447,69.78960392427129
56,"Philadelphia, PA",PIA LCD,Tmax,84.10025957170669,6.654055176321701,-0.4368985834639395,6164,57.0,99.25675675675676,104.0,85.0,86.0,2.642857142857143,13.842857142857143,94.0,2.9627043354655296,1.256218905472637,19.89974042829332,15.156497185050071,67.55853429638438
57,"Phoenix, AZ",PAS LCD,Tmax,103.48296560674886,5.69203724736787,-0.7705367889052637,6164,73.0,115.0377358490566,122.0,104.0,105.0,78.94285714285714,84.32857142857142,111.0,54.645771144278605,28.28714167258943,18.517034393251137,11.55477024230774,35.48917394576403
58,"Pierre, SD",PRA LCD,Tmax,85.1643413367943,9.78006456614078,-0.2175358450325011,6164,44.0,107.96385542168674,115.0,86.0,88.0,11.0,22.825,101.0,3.606564041265534,2.5517649846008053,29.835658663205702,22.79951408489245,67.27236099919419
59,"Pine Bluff, AK",PBG LCD,Tmax,90.66304347826087,5.629941643672084,-0.4047796384199151,4416,66.0,103.0,109.0,91.0,93.0,11.214285714285714,34.42857142857143,99.0,7.509846981721981,3.570585317460317,18.336956521739125,12.336956521739124,72.1291664081982
60,"Pine Springs, TX",PSG LCD,Tmax,85.92728197304857,7.203256648371389,-0.5965381598203048,3933,28.0,101.16666666666669,105.0,86.0,88.0,4.128571428571429,14.071428571428571,97.0,3.5187205910032,2.079710144927536,19.072718026951435,15.239384693618106,45.4038705014111
61,"Pittsburgh, PA",PAA LCD,Tmax,80.96502835538752,6.429691438438154,-0.4226829989619623,4232,53.0,95.34782608695652,101.0,81.0,82.0,0.2,3.414285714285714,91.0,1.470289855072464,0.108695652173913,20.034971644612483,14.382797731569,70.44550286696732
62,"Portland, OR",PIA LCD,Tmax,77.09247047998774,9.043448772207013,0.2483489307420676,6521,53.0,101.01234567901234,107.0,77.0,72.0,1.9555555555555555,5.622222222222222,93.0,2.0532407407407405,1.178240740740741,29.90752952001226,23.9198751990246,74.65783678907195
63,"Rapid City, SD",RCA LCD,Tmax,82.75576416337286,10.098908078427522,-0.3688943630430886,6072,36.0,104.76923076923076,109.0,83.0,87.0,8.257142857142858,20.15714285714286,98.0,3.0831075910621366,1.902128427128428,26.24423583662714,22.013466605857914,62.96657114977492
64,"Redding, CA",RAS LCD,Tmax,94.1751615218952,9.078474995692892,-0.7001946474431551,4179,57.0,112.4375,118.0,95.0,97.0,39.88,57.12,107.0,10.861844375431334,6.039709083187344,23.82483847810481,18.26233847810481,57.43249683069487
65,"Rock Springs, WY",RSA LCD,Tmax,78.7804347826087,8.238529178297934,-1.0849516911075017,5980,37.0,92.8061224489796,97.0,81.0,82.0,0.0428571428571428,2.4,89.0,1.0410256410256409,0.0,18.219565217391303,14.0256876663709,55.68435372959353
66,"Sacramento, CA",SAA LCD,Tmax,89.835009733939,8.12965989667442,-0.2707555441966288,6164,57.0,108.59677419354838,115.0,90.0,92.0,22.1,42.12857142857143,102.0,5.094926342314401,3.649164889836532,25.164990266061,18.76176445960938,67.64918987863683
67,"Salt Lake City, UT",SLC LCD,Tmax,88.18074534161491,8.590725285745616,-1.0432605922979563,6440,50.0,102.69767441860463,106.0,90.0,94.0,16.642857142857142,42.34285714285714,99.0,5.295217480931767,3.457823129251701,17.81925465838509,14.51692907698974,55.454125291854766
68,"San Antonio, TX",SAK LCD,Tmax,94.22302264039988,5.043018041757955,-0.6315510039055371,6802,70.0,104.6043956043956,109.0,95.0,97.0,37.1375,65.55,101.0,16.97183612183612,8.233166120666121,14.776977359600124,10.38137296399573,69.33697998035609
69,"San Diego, CA",SDI LCD,Tmax,73.96414665801427,4.75108984408736,0.5880309835864366,6164,61.0,89.88157894736842,100.0,74.0,74.0,0.0857142857142857,0.3142857142857143,82.0,0.1343283582089552,0.0298507462686567,26.035853341985728,15.917432289354153,70.32655746005702
70,"San Jose, CA",SJS LCD,Tmax,80.34361820199778,6.740506194386371,0.6232544585757613,4505,59.0,101.1923076923077,107.0,80.0,80.0,2.033333333333333,6.15,93.0,2.213605442176871,1.0561224489795915,26.65638179800221,20.84868949030991,66.57661999715768
71,"Scottsbluff, NE",SBA LCD,Tmax,85.69760479041916,9.16049686101973,-0.7541386730847907,6346,44.0,103.40243902439023,108.0,87.0,87.0,9.475,26.2125,98.0,3.482869586130456,2.708063031976076,22.30239520958084,17.704834233971084,61.84062730982051
72,"Seattle, WA",STA LCD,Tmax,72.79428942245295,8.04302954740319,0.3493012767378645,6164,49.0,94.84848484848484,103.0,72.0,70.0,0.2142857142857142,1.7714285714285714,87.0,0.9378109452736318,0.0895522388059701,30.20571057754705,22.054195426031896,75.7078059841263
73,"Shreveport, LA",SAS LCD,Tmax,91.62767683322518,5.26504701222348,-0.43595341160593,6164,63.0,104.26582278481013,108.0,92.0,93.0,18.62857142857143,54.41428571428571,100.0,8.64589283022119,4.539765458422174,16.37232316677482,12.638145951584946,72.27359802420592
74,"Sioux City, IA",SCA LCD,Tmax,83.36754658385094,7.653126438999176,-0.3574963389495266,6440,51.0,101.70833333333331,107.0,84.0,83.0,3.7,13.625,95.0,2.8700340136054425,1.1473809523809524,23.632453416149065,18.34078674948239,71.3982448489644
75,"Spokane, WA",SIA LCD,Tmax,79.4244071146245,9.93958448498356,-0.2860703213243854,6072,45.0,99.46739130434784,106.0,80.0,82.0,2.8142857142857145,12.0,94.0,3.604473304473304,1.4583333333333333,26.5755928853755,20.042984189723327,66.65985299867073
76,"St Louis, MO",SLA LCD,Tmax,86.8724853990915,6.895763419297847,-0.3101257073698165,6164,58.0,103.70270270270272,113.0,87.0,86.0,7.985714285714286,26.97142857142857,97.0,3.984628265598415,2.3255508173418624,26.127514600908498,16.830217303611207,68.73989704170232
77,"Tampa, FL",TIA LCD,Tmax,89.35171966255677,3.0077628250050403,-0.7900841842400835,6164,73.0,95.52272727272728,98.0,90.0,90.0,0.7285714285714285,32.51428571428571,94.0,4.144104154551916,0.2985074626865671,8.648280337443225,6.171007610170491,74.09578560852457
78,"Utica, NY",UOA LCD,Tmax,77.91685321394307,7.407080982697716,-0.4354216809747374,3127,50.0,92.7719298245614,97.0,79.0,82.0,0.05,2.3,89.0,0.9485294117647058,0.0,19.08314678605693,14.855076610618326,74.31537712290978
79,"Washington, DC",WRA LCD,Tmax,85.8351490825688,6.553616436381182,-0.4360646351992996,6976,57.0,100.26666666666668,105.0,86.0,88.0,4.775,20.8125,96.0,3.5706916099773247,1.6504329004329004,19.164850917431195,14.43151758409786,66.28455007984752
80,"Wausau, WI",WAS LCD,Tmax,77.69477559607293,7.383855302561529,-0.3284994207188796,5704,50.0,94.45454545454544,102.0,78.0,81.0,0.2714285714285714,2.6,89.0,1.079301075268817,0.064516129032258,24.30522440392707,16.759769858472524,73.24777277192507
81,"Wichita, KS",WMC LCD,Tmax,89.37538461538462,7.970240110321242,-0.2846750238441881,4875,59.0,107.33846153846154,111.0,90.0,90.0,18.6,37.0,102.0,5.363790873696535,4.07377957472297,21.62461538461538,17.963076923076926,68.27239304687
82,"Winnemucca, NV",WAS LCD,Tmax,87.7483368489372,9.405987770947691,-1.0497415084028805,6163,46.0,104.64516129032258,130.0,90.0,90.0,16.37142857142857,39.9,99.0,6.484731106372897,3.6617448471926086,42.2516631510628,16.896824441385377,50.03093125705812
83,"Winslow, AZ",WAS LCD,Tmax,90.49080852448348,6.955484084878032,-4.307526114463064,6147,-47.0,103.0,114.0,91.0,90.0,18.585714285714285,46.3,99.0,6.908905149576791,4.477132196162046,23.509191475516516,12.509191475516516,43.35920991972777
